page,text,Class
410,"U.S. Depa11ment of Ju stice Atterne) Werlt Predttet // May Ce11tB:i11 1 Material Preteeted U11derFed. R. Crim. P. 6(e) Smith, Peter Investment banker activ... Hillary Clinton emails during the 2016 U.S. pr... period. Spicer, Sean White Hou se press sec ... July 201 7). Stone, Roger Tillerson, Rex U.S. Secretary of State... Timofeev, Ivan Director of programs at... program dir ecto r of the Valdai Di scussion C... 2016 with George Papadopoulos, attemptin g to ... between the Russian government and the Trump C... Trump, Donald Jr. President Trump 's son;... Organization; helped arrange and attended the ... Trump Tower between Na talia Vese lnitskaya an... offic ials. Trump, Eric President Trump 's son;... Organization. Trump, Ivanka President Trump's daugh... exec utive vice president of the Trump Organiz... Ushakov, Yuri Aide to Vladim ir Putin... Viktorovich States; identified to t... channel to th e Rus sian government. Vaino, Anton Chief of staff to Ru ss... Van der Zwaan, For mer attorney at Ska... Alexander with Paul Manafort and ... Vargas, Catherine Execut ive assistant to... Vasilchenko, Gleb Internet Re search Agen... measures "" soc ia l med ia campaign to interfe... presidential election. Veselnitskaya, Russian atto rney who a... Natalia was the princip al spea... with Trump Campa ign officia ls. Weber, Shlomo Rector of the New Eco n... Carter Page to speak at NES commenceme nt in J... Yanukovych, Viktor For mer pre sident of U... B-10 NaN",2
411,"U.S. Dep artment of Justice Attorne)' Wol'ltProd1:1et // Ma)' CorHaiRMate,•ialPrnteeted URder Fed. R... Yate s, Sally Acting Attorney Genera... Attorney Gen era l (Jan. 10, 2015 - Jan. 30, 2... Yatsenko, Sergey Deputy ch ief financia... company , and assoc iate of Carter Page. Zakharova , Maria Direc tor of the Russ ... Press Department who received notificati on of... July 2016 from Deni s Klimentov. Zayed al Nahyan , Crown Prince of Abu Dh... Mohammed bin United Arab Em irates ... Entities and Organizations Alfa-Bank Russia's largest c... Center for the National U.S.-based think t... Interest (CNI) CNI's publication,... foreign pol icy speec h in April 20 16. Concord Umbrella term for ... Concord Catering, which are Russ ian companies... Yevgeniy Prigozhin. Crocus Group or A Russian real- es... Crocus International 2013 , hosted the ... worked wit h the T rump Organization on a Trum... DCLeaks Fictitious online ... document s durin g the 2016 U .S. presidential... Democratic Political committ ... Congressional Representatives; h... Campaign Committee Democratic National Formal governing b... Committee in Apri l 20 16. Duma Lower House of the... Gazpro m Russian oil and ga... government. Global Energy Capital, Investme nt and ma... LLC Global Partners in Event hosted in pa... Diplomacy Repub lican Nation... Gordon delivered speeches at the event and int... Ambassador Sergey Kislyak. B-11 NaN",0
412,"U.S. Department of Justice Attorne)"" Wol'lt Predttet // Mey CofltttiflMet... Guccifer 2.0 Fictitious onlin... documents during the 2016 U.S. presidential ca... I.C. Expert Investment Russian real-est... Company intent with a Tr... Moscow property. Internet Research Russian entity ba... Agency (IRA) engaged in an ""a... the 20 I 6 V,S. presidential election. KLS Research LLC Business establis... Smith to further Smith's search for Hillary Cl... Kremlin Official residenc... colloquially to refer to the office of the pre... government. LetterOne Company that incl... During a board meeting in December 2016, Aven ... to make contact with the Presidential Transiti... Link Campus University in Rom... University introduced to Jo... London Centre of International law... International Law Joseph Mifsud and... Practice (LCILP) Main Intelligence Russian Federatio... Directorate of the General Staff (GRU) New Economic School Moscow-based scho... in Moscow (NES) commencement cere... Opposition Bloc Ukrainian politic... Party of Regions . Party of Regions Ukrainian politic... generally understood to align with Russian pol... Pericles Emerging Company registere... Market Partners LLP business partner ... Prevezon Holdings Ltd. Russian company t... the laundering of proceeds from fraud exposed ... Roscongress Russian entity th... Foundation Economic Forum. Rosneft Russian state-own... Russian Direct Sovereign wealth ... Investment Fund and headed by Kir... B-12 NaN",0
413,"U.S. Department of Justice Attorney \\'erk Prodttet // Ma)· C0Htait1~fote... Russian International Russia-based nonpr... Affairs Council is associated with... include Ivan Timofeev, Dmitry Peskov, and Petr... Silk Road Group Privately held inv... agreement to build a Trump-branded hotel in Ge... St. Petersburg Annual event held ... International Economic politicians and bu... Forum Tatneft Russian energy com... Transatlantic European group tha... Parliamentary Group Parliament lawmake... on Counterterrorism Clovis, and Walid ... Unit 26165 (GRU) GRU military cyber... governmental, and non-governmental organizatio... It engaged in computer intrusions of U.S. pers... as well as the subsequent release of the stole... in the 2016 U.S. presidential election. Unit 74455 (GRU) GRU military unit ... operations. It engaged in computer intrusions ... organizations, as well as the subsequent relea... order to interfere in the 2016 U.S. presidenti... Valdai Discussion Club Group that holds a... officials, including President Putin. WikiLeaks Organization found... including data stolen from private, corporate,... entities. Released data stolen by the GRU duri... presidential election. B-13 NaN",0
414,"U.S. Department of Justice Attorne)' 'Norlc Prodttet // May Cm1taiflMater... Index of Acro nyms CNI Center for the National In... DCCC Democratic Congressional C... DNC Democratic National Committee FBI Federal Bureau oflnvestiga... FSB Russian Federal Security S... GEC Global Energy Capital, LLC GRU Russian Federation's Main ... HPSCI U.S. House of Representati... HRC Hillary Rodham Clinton IRA Internet Research Agency LCILP London Centre of Internati... NATO North Atlantic Treaty Orga... NES New Economic School NSA National Security Agency ODNI Office of the Director of ... PTT Presidential Transition Team RDIF Russian Direct Investment ... RIAC Russian International Affa... SBOE State boards of elections sco Special Counsel's Office SJC U.S. Senate Judiciary Comm... SSCI U.S. Senate Select Committ... TAG Transatlantic Parliamentar... VEB Vnesheconombank B-14 NaN",0
415,U.S. Department of Justice AMorttcy Werle Proauet // Ma) ' Contain Materi... AppendixC NaN,0
416,U.S. Department of Justice Attomey Wm•kPfoe:lttet// Mtty Cofltttifl Mttte... NaN,0
417,"U.S. Department of Justice i'\Jterfle~· Werk Preattet // May CeHtttifl Ma... APPENDIXC INTRODUCTORY NOTE The President provided written responses throu... submitted to him by the Special Counsel 's Off... submission of written questions and then attac... Beginning in Dec ember 2017, this Office sough... President on topics relevant to both Russian-e... advised counsel that the President was a "" sub... Justice Manual -"" a person whose conduct is wi... Justice Manual § 9-11.151 (2018). We also advi... is vital to our investigation"" and that this O... other arguments raised by . .. counsel , and t... an interview ."" 1 We additionally stated that ... for an interview to take place"" and offered ""n... preparation and avoid surprise."" 2 After exten... the Special Counsel's objective of securing th... included the submissions of written questions ... We received the President's written responses ... we informed counsel of the insufficiency of th... other things , that the President stated on mo... ' remember ' or have an ' independent recollec... Other answers were ""incomplete or impreci se.""... ""demonstrate the inadequacy of the written for... up questions that would ensure complete answer... or clarify the extent or nature of his lack of... interview , limited to certain topics , advisi... 1 5/16/18 Letter, Special Counsel to the Preside... 2 5/16/18 Letter, Special Counsels's Office to t... Letter, Special Counsel 's Office to the Presi... 3 9/17/18 Letter, Special Counsel's Office to ... written questions). 4 11/20/18 Letter, President' s Personal Coun... written responses of Donald J. Trump). 5 12/3/18 Letter, Special Counsel's Office to th... 6 12/3/18 Letter, Special Counsel's Office to th... 7 12/3/ 18 Letter, Special Counsel ' s Office ... ""for example,"" that the President ""did not ans... discussions about the Trump Moscow Project sho... about that topic""). 8 12/3/18 Letter, Special Counsel's Office to th... C-1 NaN",2
418,"U.S. Department of Justice A1:terHe~·Werk Preclttet // May CeHtaiH Materi... opportunity to voluntarily provide us with inf... the evidence we have gathered."" 9 The Presiden... Recognizing that the President would not be in... whether to issue a subpoena for his testimony.... But at that point, our investigation had made ... evidence for our report. We thus weighed the c... with resulting delay in finishing our investig... investigation and report. As explained in Volu... substantial quantity of information we had obt... factual conclusions on intent and credibility ... and assessed without direct testimony from the... * * * 9 12/3/18 Letter, Special Counsel to the Presi... 10 12/12/18 Letter, President's Personal Couns... C-2 NaN",2
419,"U.S. Department of Justice AttorHey Work Proettet // May CeHtaiH Mat:eria... WRITTEN QUESTIONS TO BE ANSWERED UNDER OATH BY... I. June 9, 2016 Meeting at Trump Tower a. When did you first learn that Donald Trump,... was considering participating in a meeting in ... negative information about Hillary Clinton? De... information from and the substance of the disc... b. Attached to this document as Exhibit A is a... between, among others, Donald Trump, Jr. and R... emails reflected in Exhibit A, Donald Trump, J... Rob Goldstone and Emin Agalarov between June 3... i. Did Mr. Trump, Jr. or anyone else tell you ... communications? If yes, describe who discussed... you, when, and the substance of the discussion... ii. When did you first see or learn about all ... in Exhibit A? iii. When did you first learn that the propose... described as being part of Russia and its gove... candidacy? iv. Did you suggest to or direct anyone not to... any portion of the emails reflected in Exhibit... communicated with, when, the substance of the ... why you took that action. c. On June 9, 2016, Donald Trump, Jr., Paul Ma... meeting at Trump Tower with several individual... 11 Natalia Veselnitskaya (the June 9 meeting""). i. Other than as set forth in your answers to ... were you told about the possibility of this me... scheduling of such a meeting? Describe who you... when, and what you were informed about the mee... ii. When did you learn that some of the indivi... meeting were Russian or had any affiliation wi... government? Describe who you learned this info... substance of the discussion(s). iii. What were you told about what was discuss... Describe each conversation in which you were t... discussed at the meeting, who the conversation... occurred, and the substance of the statements ... meeting. C-3 NaN",2
420,"U.S. Department of Justice Attort'iey Work Proattet // Ma)'' Cotttaitt Ma... iv. Were you told that the June 9 meeting was ... adoption and/or the Magnitsky Act? If yes, des... discussion with, when, and the substance of th... d. For the period June 6, 2016 through June 9,... were you in Trump Tower? i. Did you speak or meet with Donald Trump, Jr... Kushner on June 9, 2016? If yes, did any porti... conversations or meetings include any referenc... 9 meeting? If yes, describe who you spoke with... conversation. e. Did you communicate directly or indirectly ... the Agalarov family after June 3, 2016? If yes... and the substance of the communication. f. Did you learn of any communications betwee... or Jared Kushner and any member or representat... Natalia Veselnitskaya, Rob Goldstone, or any R... place after June 9, 2016 and concerned the Jun... assist the campaign? If yes, describe who you ... when, and the substance of what you learned. g. On June 7, 2016, you gave a speech in which... a major speech on probably Monday of next week... all of the things that have taken place with t... i. Why did you make that statement? ii. What information did you plan to share wit... iii. What did you believe the source(s) of tha... iv. Did you expect any of the information to h... meeting? v. Did anyone help draft the speech that you w... vi. Why did you ultimately not give the speech... 2016? h. Did any person or entity inform you during ... the Russian government supported your candidac... Hillary Clinton? If yes, describe th e source(... informed , and the content of such discussion(s). i. Did any person or entity inform you during... government or foreign leader, other than Russi... wi shed to provide, or offer ed to provide tan... including by way of offering to provide negati... C-4 NaN",2
421,"U.S. Department of Justice Attel'fl:e~·'.\'e,rk Preclttet // Ma)' CeAtaiA... yes, describe the source{s) of the information... content of such discussion(s). II. Russian Hacking/ Russian Efforts Usin... a. On June 14, 2016, it was publicly reported ... the computer network of the Democratic Nationa... Russian intelligence was behind the unauthoriz... 14, 2016, were you provided any information ab... hacking of the computer systems or email accou... Congressional Campaign Committee (DCCC),the Cl... or individuals associated with the Clinton cam... this information, when, and the substance of t... b. On July 22, 2016, Wikileaks released nearly... Democratic party officials . i. Prior to the July 22, 2016 release, were yo... Wikileaks, Guccifer 2.0, DCLeaks, or Russians ... possession of or planned to release emails or ... your campaign or hurt the Clinton campaign? If... discussed this issue with, when, and the subst... ii. After the release of emails by Wikileaks o... that Wikileaks possessed or might possess addi... could be released during the campaign? If yes,... information, when, and what you were told. c. Are you aware of any communications during ... between Roger Stone, Donald Trump, Jr., Paul M... Wikileaks, {b) Julian Assange, (c) other repre... 2.0, (e) representatives of Guccifer 2.0, or {... describe who provided you with this informatio... communications, and what you know about those ... d. On July 27, 2016, you stated at a press con... hope you're able to find the 30,000 emails tha... probably be rewarded mightily by our press."" i. Why did you make that request of Russia,as ... entity, or individual? ii. In advance of making that statement, what ... with anyone else about the substance of the st... iii. Were you told at any time before or after... Russia was attempting to infiltrate or hack co... accounts of Hillary Clinton or her campaign? I... this information, when, and what you were told. C-5 NaN",2
422,"U.S. Department of Justice Atlef'fle) \ltet'k Pt1eclttet// Moy CeHtttiHMo... 1 ... e. On October 7, 2016, emails hacked from the ... released by WikiLeaks. · i. Where were you on October 7, 2016? ii. Were you told at any time in advance of, o... release that Wikileaks possessed or might poss... Podesta? If yes, describe who told you this, w... told. iii. Are you aware of anyone associated with y... Roger Stone, reaching out to Wikileaks, either... intermediary, on or about October 7, 2016? If ... describe the substance of the conversations or... f. Were you told of anyone associated with ... Stone, having any discussions, directly or ind... or DCLeaksregarding the content or timing of r... describe who had such contacts, how you became... you became aware of the contacts, and the subs... g. From June 1, 2016 through the end of the ca... communicate with Roger Stone? Describe the nat... with Mr. Stone. i. During that time period, what efforts did M... to assist your campaign, and what requests, if... Stone? ii. Did Mr. Stone ever discuss Wikileaks with ... with anyone else associated with the campaign?... were told, from whom, and when. iii. Did Mr. Stone at any time inform you abou... or any intermediary of WikiLeaks, or about for... information? If yes, describe what Stone told ... h. Did you have any discussions prior to Janua... pardon or other action to benefit Julian Assan... the discussion(s) with, when, and the content ... i. Were you aware of any efforts by foreign ... in Russia, to assist your campaign through the... organization of rallies? If yes, identify who ... when, and the content of the discussion(s). C-6 NaN",2
423,"U.S. Department of Justice Att6rfle, · \lt6rlc Pr6attet // Ma, · C6Htaifl... Ill. The Trump Organization Moscow Project a. In October 2015, a ""Letter of Intent,"" a co... signed for a proposed Trump Organization proje... Moscow project""). i. When were you first informed of discussions... project? By whom? What were you told about the... ii. Did you sign the letter of intent? b. In a statement provided to Congress, attach... ""To the best of my knowledge, Mr. Trump was ne... this proposal other than me on three occasions... letter of intent in 2015."" Describe all discus... anyone else associated with the Trump Organiza... project, including who you spoke with, when , ... discussion(s). c. Did you learn of any communications between... any Russian government officials, including of... regarding the Trump Moscow project? If so, ide... information to you, when, and the substance of... d. Did you have any discussions between June 2... potential trip to Russia by you and/or Michael... Trump Moscow project? If yes, describe who you... substance of the discussion(s). e. Did you at any tim e direct or suggest that... project should cease, or were you informed at ... abandoned? If yes, describe who you spoke with... discussion(s), and why that decision was made. f. Did you have any discussions regarding w... publicly or in response to investigative inqui... investments or business deals the Trump Organi... Trump Moscow project? If yes, describe who you... substance of the discussion(s). g. Aside from the Trump Moscow project, did yo... any other prospective or actual business inter... with Russia or any Russian interest or Russian... yes, describe the business inte rests, investm... C-7 NaN",2
424,"U.S. Department of Justice Atleme~· Werk Pretlttet // May Ce!ltttill Mate... IV. Contacts with Russia and Russia-Relate... a. Prior to mid-August 2016, did you become aw... the Ukrainian government? If yes, describe who... from, when, and the substance of what you were... connections to the Ukrainian or Russian govern... decision to have him join your campaign? If ye... b. Were you aware that Paul Manafort offered b... campaign to Oleg Deripaska? If yes, describe w... from, when, the substance of what you were tol... purpose was of sharing such information with M... responded to learning this information . c. Were you aware of whether Paul Manafort or ... campaign sent or directed others to send inter... any person located in Ukraine or Russia or ass... Russian governments? If yes, identify who prov... when, the substance of the discussion(s), what... of sharing the internal campaign information, ... this information. d. Did Paul Manafort communicate to you, direc... Ukraine or Russia would want the U.S. to suppo... communicated those positions to you and the su... communications. e. During the campaign, were you told about ef... you or senior members of your campaign? If yes... conversations with on this topic, when, and wh... f. What role, if any, did you have in changin... regarding arming Ukraine during the Republican... the convention, what information did you have ... After the platform provision was changed, who ... did they tell you, what were you told about wh... involved? g. On July 27, 2016, in response to a question... Crimea as Russianterritory and lift sanctions ... at that . Yeah, we'll be looking."" Did you int... or at any other time during the campaign a wil... recognize Russia's annexation of Crimea if you... C-8 NaN",2
425,"U.S. Department of Justice At:terHe~·'+\'erk Pt'eattet // Mtty CeHtttiH M... i. What consideration did you give to lifting ... Russia's annexation of Crimea if you were elec... spoke with about this topic, when, the substan... V. Contacts with Russia and Russia-Related... a. Were you asked to attend the World Chess Ch... 2016? If yes, who asked you to attend, when we... told about about why your presence was requested? i. Did you attend any part of the event? If ye... had with any Russiansor representatives of the... event. b. Following the Obama Administration's imposi... December 2016 {""Russia sanctions""), did you di... {LTG) Michael Flynn, K.T. McFarland, Steve Ban... Erik Prince, or anyone else associated with th... communicated to the Russian government regardi... describe who you spoke with about this issue, ... discussion{s). c. On December 29 and December 31, 2016, LTG F... Russian Ambassador Sergey Kislyak about the Ru... response to the Russia sanctions. i. Did you direct or suggest that LTG Flynn ha... the Russian government about the Russia sancti... ii. Were you told in advance of LTG Flynn's De... that he was going to be speaking with Ambassad... who told you this information, when, and what ... and from whom did you learn of LTG Flynn's Dec... conversation with Ambassador Kislyak? iii. When did you learn of LTG Flynn and Ambas... December 31, 2016? Who told you and what were ... iv. When did you learn that sanctions were dis... December 31, 2016 calls between LTG Flynn and ... Who told you and what were you told? d. At any time between December 31, 2016, and ... you or suggest to you that Russia's decision n... was attributable in any way to LTG Flynn's com... Kislyak? If yes, identify who provided you wit... substance of what you were told. C-9 NaN",2
426,"U.S. Department of Justice Attoffley Work Protittet // Mtty CotttttiH Mtt... e. On January 12, 2017, the Washington Post pu... LTG Flynn phoned Ambassador Kislyak several ti... learning of the column, did you direct or sugg... deny that he discussed sanctions with Ambassad... make this suggestion or direction to, when, wh... take this step? i. After learning of the column, did you have ... Flynn about his conversations with Ambassador ... If yes, describe when those discussions occurr... discussions. f. Were you told about a meeting between Jared... took place in December 2016? i. If yes, describe who you spoke with, when ,... discussion(s}, and what you understood was the... g. Were you told about a meeting or meetings b... or any other representative from the Russian g... January 2017? i. If yes, describe who you spoke with, when ,... discussion(s}, and what you understood was the... h. Prior to January 20, 2017, did you talk to ... oth er individual associated with the transiti... line of communication with Russia? If yes, des... the substance of the discussion(s), and what y... such an unofficial line of communication. C-10 NaN",2
427,"U.S. Department of Justice AMenwy Werk Preattet // Ma:,·Contain Mate1•ial... RESPONSESOF PRESIDENTDONALDJ. TRUMP I. June 9. 2016 Meeting at Trump Tower a. When did you first learn that Donald Tr... considering participating in a meeting in June... information about Hillary Clinton? Describe wh... substance of the discussion. b. Attached to this document as Exhibit A ... among others, Donald Trump, Jr. and Rob Goldst... Exhibit A, Donald Trump, Jr. had other communi... Agalarov between )une 3, 2016, and June 9, 2016. i. Did Mr. Trump, Jr. or anyone else tell ... communications? If yes, describe who discussed... when, and the substance of the discussion(s), 11. When did you first see or learn about ... Exhibit A? iii. When did you first learn that the prop... being part of Russia and its government's supp... 1v. Did you suggest to or direct anyone not... portion of the emails reflected in Exhibit A? ... communicated with, when, the substance of the ... took that action. c. On June 9, 2016, Donald Trump, Jr., Pau... at Trump Tower with several individuals, inclu... Yeselnitskaya (the ""June 9 meeting""). i. Other than as set fotth in your answers... told about the possibility of this meeting tak... meeting? Describe who you discussed this with,... about the meeting. ii. When did you learn that some of the ind... Russian or had any affiliation with any part o... who you learned this information from and the ... 6 C-11 NaN",2
428,"U.S. Department of Justice Atte,n1ey 'Nork Prne1:1et// M1t:,·Ce,Ht1tiH M1... iii. What were you told about what was dis... conversation in which you were told about whal... the conversation was with, when it occurred, a... lhey made about the meeting. iv. Were you told that the June 9 meeting... and/or the Magnitsky Act? If yes, describe who... and the substance of the discussion. d. For the period June 6, 2016 through Ju... in Trump Tower? 1. Did you speak or meet with Donald Tru... on June 9, 2016? If yes, did any portion of an... include any reference to any aspect of the Jun... spoke with and the substance of the conversation. e. Did you communicate directly or indir... Agalarov family after June 3, 2016? If yes, de... substance of the communication. f. Did you learn of any communications b... Kushner and any member or representative of th... Rob Goldstone, or any Russian official or cont... concerned the June 9 meeting or efforts by Rus... who you learned this information from, when, a... g. On June 7, 2016, you gave a speech in... speech on probably Monday of next week and we'... that have taken place with the Clintons .'' 1. Why did you make that statement? ii. What information did you plan to shar... 111. What did you believe the source(s) of... iv. Did you expect any of the information ... v. Did anyone help draft the speech that... vt. Why did you ultimately not give the sp... h. Did any person or entity inform you ... 7 C-12 NaN",2
429,"U.S. Department of Justice AtteirRey\Ve,rkPreifittet// MB:)'CeiRtB:iRMate... government supported your candidacy or opposed... describe the source(s) of the information. whe... discussion(s). 1. Did any person or entity inform you d... foreign leader, other than Russia or Vladimir ... offered to provide tangible support to your ca... provide negative information on Hillary Clinto... information, when you were informed, and the c... Response to Question l, Parts (a) through (c) I have no recollection of learning at the time... Kushner was considering participating in a mee... information about Hillary Clinton. Nor do I re... 2016 meeting had taken place, that the referen... other communications with Emin Agalarov or Rob... 9, 2016. Response to Question I, Part {d) I have no independent recollection of what por... Trump Tower. This was one of many busy months ... season was ending and we were preparing for th... I am now aware that my Campaign's calendar ind... - 9, 2016. Calendars kept in my Trump Tower of... scheduled for each of these days. While those ... taken place, they do indicate that I was in Tr... days, and I have no reason to doubt that I was... Trump Tower apartment. My Trump Organization desk calendar also refle... portions of these days. The June 7, 2016 calen... in the early evening for Westchester where I g... Jersey, New Mexico, Montana, and South Dakota ... 2016 calendar indicates a scheduled departure ... school. The June 9, 2016 calendar indicates I ... fundraising luncheon at the Four Seasons Hotel... these events occurred, but I do not currently ... scheduled on my calendar. Widely available media reports, including tele... during these days. For example, I am aware tha... 8 C-13 NaN",2
430,"U.S. Department ofJustice AMerRe)·'.\'erk Preclttet // Ma)' Cm~tttil'lMt... National Golf Club in Briarcliff Manor, New Yo... remember winning those primaries and generally... At this point in time, I do not remember wheth... Manafort, or Jared Kushner on June 9, 2016. My... with Paul Manafort on the morning of June 9, b... more than two years ago, at a time when I had ... Response to Question I, Part (e) I have no independent recollection of any comm... anyone r understood to be a representative of ... the end of the campaign. While preparing to re... written communications with the Agalarovs duri... largely authored by my staff and which I under... In general, the documents include congratulato... painting Emin and Aras Agalarov arranged to ha... present, and emails regarding delivery of a bo... that the deliveries were screened by the Secre... Response to Question I, Part (t) I do not recall being aware during the campaig... Paul Manafort, or Jared Kushner and any member... Goldstone, Natalia Yeselnitskaya (whose name I... to be a Russian official. Response to Question I, Part (g) In remarks I delivered the night I won the Cal... South Dakota Republican primaries, I said, ""I ... Monday of next week and we're going to be disc... the Clintons."" In general, l expected to give ... information about the Clintons, including, for... Clintons' use of the State Department to furth... Foundation, Mrs. Clinton's improper use of a p... destruction of 33,000 emails on that server, a... office of President. In the course of preparing to respond to your ... documents already produced to you reflect the ... the speech I expected to give ""probably"" on th... These documents generally show that the text o... 9 C-14 NaN",2
431,"U.S. Department of Justice Atterfl:e)""\\'erk PreEiuet// May Cofl:taifl:Ma... with input from various outside advisors and w... in particular, information from the book CUnto... The Pulse Nightclub terrorist attack took plac... 2016. In light of that tragedy, I gave a speec... terrorism than to the Clintons. That speech wa... Politics in Manchester, New Hampshire, and, as... This was going to be a speech on Hillary Clint... especially in these times of Radical Islamic T... former Secret Service Agent, who has seen her ... has stated that she lacks the temperament and ... be plenty of oppo1tunity to discuss these impo... deliver that speech soon. But today there is o... threat of terrorism inside of our borders. I continued to speak about Mrs. Clinton's fail... prepared for inclusion in the speech to which ... Response to Question I, Part (h) I have no recollection of being told during th... government ""suppotted"" my candidacy or ""oppose... I was aware of some reports indicating that Pr... about me. Response to Question I, Part (i) I have no recollection of being told during th... leader had provided, wished to provide, or off... II. Russian Hacking / Russian Efforts Usin... a. On June 14, 2016, it was publicly repo... computer network of the Democratic National Co... intelligence was behind the unauthorized acces... provided any information about any potential o... email accounts of the DNC, the Democratic Cong... the Clinton Campaign, Hillary Clinton, or indi... campaign? If yes, describe who provided this i... information. 10 C-15 NaN",2
432,"U.S. Department of Justice Atterfte~· \l/erk Proa1:1et// May Ce11tai11 M... b. On July 22, 2016, WikiLeaks released ne... party officials. 1. Prior to the July 22, 2016 release, w... Guccifer 2.0, DCLeaks, or Russians had or pote... to release emails or information that could he... campaign? If yes, describe who you discussed t... substance of the discussion(s). 11. After the release of emails by WikiLe... WikiLeaks possessed or might possess additiona... released during the campaign? If yes, describe... when, and what you were told. c. Are you aware of any communications du... Roger Stone, Donald Trump, Jr., Paul Manafort,... Julian Assange, (c) other representatives of W... of Guccifer 2.0, or (f) representatives of DCL... this information, when you learned of the comm... communications. d. On July 27, 2016, you stated at a pres... you' re able to find the 30,000 emails that ar... mightily by our press."" 1. Why did you make that request of Russ... or individual? ii. In advance of making that statement, ... anyone else about the substance of the statement? iii. Were you told at any time before or a... attempting to infiltrate or hack computer syst... Clinton or her campaign? If yes, describe who ... what you were told. e. On October 7, 2016, emails hacked from... WikiLeaks. i. Where were you on October 7, 20 I 6? ii. Were you told at any time in advance ... WikiLeaks possessed or might possess emails re... describe who told you this, when, and what you... 11 C-16 NaN",2
433,"U.S. Department of Justice AtterRey Werk Presttet // Ma)' Cm~taiR Materia... iii. Are you aware of anyone associated wi... Stone, reaching out to WikiLeaks, either direc... about October 7, 2016? If yes, identify the pe... conversations or contacts. f. Were you told of anyone associated wit... having any discussions, directly or indirectly... regarding the content or timing of release of ... contacts, how you became aware of the contacts... and the substance of the contacts. g. From June 1, 2016 through the end of ... with Roger Stone? Describe the nature of your ... 1. During that time period, what efforts... your campaign, and what requests. if any, did ... ii. Did Mr. Stone ever discuss WikiLeaks ... anyone else associated with the campaign? If y... whom. and when. iii. Did Mr. Stone at anytime inform you ab... intermediary of WikiLeaks. or about forthcomin... describe what Stone told you and when. h. Did you have any discussions prior to... other action to benefit Julian Assange? If yes... when, and the content of the discussion(s). i. Were you aware of any efforts by fore... Russia, to assist your campaign through the us... of rallies? If yes, identify who you discussed... of the discussion(s). Response to Question II, Part (a) I do not remember the date on which it was pub... my best recollection is that I learned of the ... of media reporting. I do not recall being prov... hacking of any of the named entities or indivi... 12 C-17 NaN",2
434,"U.S. Department of Justice Atterfte)' Werk Pret:ittet// May Cm1taiftMater... Response to Question U, Part (b) I recall that in the months leading up to the ... the possible hacking and release of campaign-r... this matter. At the time, I was generally awar... issues with my campaign staff or others, but a... have no recollection of any particular convers... Response to Question II, Part (c) I do not recall being aware during the campaig... named in Question II (c) and anyone I understo... the other individuals or entities referred to ... Response to Question II, Part (d) I made the statement quoted in Question II (d)... objective observer. The context of the stateme... July 27, 2016 press conference, and I refer yo... that press conference. I do not recall having ... advance of the press conference. I do not reca... Russia to infiltrate or hack the computer syst... campaign prior to them becoming the subject of... particular conversation in that regard. Response to Question II, Part (e) I was in Trump Tower in New York City on Octob... that WikiLeaks possessed or might possess emai... Mr. Podesta's emails was reported by the media... that Roger Stone, anyone acting as an intermed... campaign had communicated with WikiLeaks on Oc... Response to Question II, Part (0 I do not recall being told during the campaign... campaign had discussions with any of the entit... timing of release of hacked emails. Response to Question ll, Part (g) I spoke by telephone with Roger Stone from tim... recollection of the specifics of any conversat... 13 C-18 NaN",2
435,"U.S. Department of Justice Attert1ey Werk Preelttet // Mft)' CefttEtiHMEt... November 8, 2016. I do not recall discussing W... Mr. Stone having discussed WikiLeaks with indi... was aware that WikiLeaks was the subject of me... the time. Response to Question II, Part (h) I do not recall having had any discussion duri... benefit Julian Assange. Response to Question II, Part (i) I do not recall being aware during the campaig... companies to assist my campaign through the us... rallies. III. The Trump Organization Moscow Project a. In October 2015, a ""Letter of Intent,... for a proposed Trump Organization project in M... 1. When were you first informed of discus... By whom? What were you told about the project? ii. Did you sign the letter of intent? b. In a statement provided to Congress, ... best of my knowledge, Mr. Trump was never in c... other than me on three occasions, including si... Describe all discussions you had with Mr. Cohe... Organization, about the Trump Moscow project, ... the substance of the discussion(s). c. Did you learn of any communications b... Russian government officials, including offici... the Trump Moscow project? If so, identify who ... and the substance of what you learned. d. Did you have any discussions between ... to Russia by you and/or Michael Cohen for reas... If yes, describe who you spoke with, when, and... e. Did you at any time direct or suggest... 14 C-19 NaN",2
